Rk,Player,PlayerName,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Blank,ORtg,DRtg,TeamPace,AdjORtg,AdjDRtg,avgMin,IndPos,Ortg/Min,DRtg/Min,Diff,Salary,Dollar/OffCont,Dollar/DefCont,Dollar/ContDiff,Dollar/Minute,Dollar/game,
305,Daniel Ochefu\ochefda01,Kristaps Porzingis,C,23,WAS,3,0,8,6.2,18.7,0.333,0,0,,6.2,18.7,0.333,0,0,,0,18.7,18.7,0,0,0,6.2,12.5,12.5,,51,104,98.4,50.184,102.336,2.67,5.47,2.74,5.59,-2.85,4317720,659.75,57863.09,831781.91,1636.95,52655.12,Daniel Ochefu
306,Jahlil Okafor\okafoja01,Dwight Powell,C,21,PHI,17,5,359,11,22.3,0.494,0,0,,11,22.3,0.494,3,5.8,0.524,2.7,6.3,9.1,2.1,0.8,2.6,2.7,5.8,25,,96,109,95.1,91.296,103.659,21.12,41.84,38.20,43.37,-5.17,8375000,2616.86,259287.64,1244580.67,5719.51,102134.15,Jahlil Okafor
307,Victor Oladipo\oladivi01,Norman Powell,SG,24,OKC,19,19,658,9.2,20.1,0.46,3,7.5,0.402,6.2,12.6,0.494,2.1,3.2,0.674,0.9,5,5.9,3.9,1.4,0.5,2.4,2.7,23.6,,108,107,94.8,102.384,101.436,34.63,68.40,70.03,69.38,0.65,874636,476.57,52230.01,155197.75,1240.27,10666.29,Victor Oladipo
308,Kelly Olynyk\olynyke01,Julius Randle,C,25,BOS,11,5,251,6.8,15.5,0.436,2.6,7.5,0.342,4.2,7.9,0.525,2.4,2.8,0.857,1.4,7.9,9.3,3.8,1.2,0.6,3,6,18.5,,103,108,101.3,104.339,109.404,22.82,48.16,50.25,52.68,-2.44,3267120,589.03,51520.45,772806.81,1410.37,39842.93,Kelly Olynyk
309,Arinze Onuaku\onuakar01,Zach Randolph,C,29,ORL,2,0,10,0,0,,0,0,,0,0,,0,0,,0,5.1,5.1,0,0,5.1,0,5.1,0,,,104,94.2,0,97.968,5.00,9.81,0.00,9.61,-9.61,10361445,3346.45,248274.43,-2606881.55,5877.17,126359.09,Arinze Onuaku
310,Kelly Oubre\oubreke01,J.J. Redick,SF,21,WAS,15,0,215,5.3,13.5,0.397,1.6,5.8,0.28,3.7,7.7,0.485,3,4.4,0.684,2.3,6.3,8.6,1.9,1.6,0.2,1.6,5.6,15.3,,104,109,99.8,103.792,108.782,14.33,29.80,30.93,32.42,-1.49,7377500,1631.78,139380.89,3345141.38,3385.95,89969.51,Kelly Oubre
311,Zaza Pachulia\pachuza01,Willie Reed,C,32,GSW,18,18,318,4.8,9.5,0.508,0,0,,4.8,9.5,0.508,2.7,2.9,0.947,5.1,11,16.1,6.3,2,1.2,3.6,5.1,12.3,,116,102,95.6,110.896,97.512,17.67,35.19,39.02,34.31,4.71,1015696,305.9,34639.25,90928.03,844.54,12386.54,Zaza Pachulia
312,Georgios Papagiannis\papagge01,Josh Richardson,C,19,SAC,1,0,6,8.4,8.4,1,0,0,,8.4,8.4,1,0,0,,0,8.4,8.4,0,0,0,8.4,25.3,16.9,,74,112,95.6,70.744,107.072,6.00,11.95,8.45,12.80,-4.34,874636,550.56,23424.76,-48686.76,576.56,10666.29,Georgios Papagiannis
313,Jabari Parker\parkeja01,Malachi Richardson,SF,21,MIL,15,15,491,11,24,0.458,1.7,4.7,0.37,9.3,19.3,0.479,4.7,5.9,0.793,2.6,6.6,9.3,3.5,1.6,0.4,2.5,2.8,28.4,,107,107,94,100.58,100.58,32.73,64.10,64.47,64.47,0.00,1439880,3018.64,167134.45,-514598.17,4389.88,17559.51,Jabari Parker
314,Tony Parker\parketo01,Austin Rivers,PG,34,SAS,12,12,313,7.9,17.1,0.462,0.8,2.1,0.385,7.1,14.9,0.473,3.8,4.4,0.852,0.5,3.3,3.8,8.7,1,0.2,2.8,3.6,20.4,,110,111,99.8,109.78,110.778,26.08,54.23,59.54,60.08,-0.54,11000000,3044.74,229077.63,-2777566.22,5622.9,134146.34,Tony Parker
